Player,Pos,Receiving_Rec,Receiving_Yds,Opportunity,Team,Year,Next_Year,Team_Next_Year
Hakeem Nicks,WR,79,1052,3,nyg,2010,2011,nyg-2011
Victor Cruz,wr,82,1536,1,nyg,2011,2012,nyg-2012
Victor Cruz*,WR,86,1092,3,nyg,2012,2013,nyg-2013
Victor Cruz,WR,73,998,3,nyg,2013,2014,nyg-2014
Odell Beckham Jr.*,WR,91,1305,2,nyg,2014,2015,nyg-2015
Odell Beckham Jr.*,WR,96,1450,2,nyg,2015,2016,nyg-2016
Odell Beckham Jr.*,WR,101,1367,2,nyg,2016,2017,nyg-2017
Sterling Shepard,WR,59,731,4,nyg,2017,2018,nyg-2018
Odell Beckham Jr.,WR,77,1052,3,nyg,2018,2019,nyg-2019
Darius Slayton,WR,48,740,4,nyg,2019,2020,nyg-2020
Darius Slayton,WR,50,751,4,nyg,2020,2021,nyg-2021
Kadarius Toney,wr,28,352,5,nyg,2021,2022,nyg-2022
Laveranues Coles,WR,89,1264,2,nyj,2002,2003,nyj-2003
Santana Moss,WR,74,1105,3,nyj,2003,2004,nyj-2004
Santana Moss,WR,45,838,4,nyj,2004,2005,nyj-2005
Laveranues Coles,WR,73,845,4,nyj,2005,2006,nyj-2006
Laveranues Coles,WR,91,1098,3,nyj,2006,2007,nyj-2007
Jerricho Cotchery,WR,82,1130,3,nyj,2007,2008,nyj-2008
Jerricho Cotchery,WR,71,858,4,nyj,2008,2009,nyj-2009
Jerricho Cotchery,WR,57,821,4,nyj,2009,2010,nyj-2010
Braylon Edwards,WR,53,904,4,nyj,2010,2011,nyj-2011
Dustin Keller,TE,65,815,4,nyj,2011,2012,nyj-2012
Jeremy Kerley,WR,56,827,4,nyj,2012,2013,nyj-2013
Jeremy Kerley,WR,43,523,5,nyj,2013,2014,nyj-2014
Eric Decker,WR,74,962,3,nyj,2014,2015,nyj-2015
Brandon Marshall*,WR,109,1502,1,nyj,2015,2016,nyj-2016
Quincy Enunwa,WR,58,857,4,nyj,2016,2017,nyj-2017
Robby Anderson,WR,63,941,3,nyj,2017,2018,nyj-2018
Robby Anderson,WR,50,752,4,nyj,2018,2019,nyj-2019
Jamison Crowder,WR,78,833,4,nyj,2019,2020,nyj-2020
Jamison Crowder,WR,59,699,4,nyj,2020,2021,nyj-2021
Corey Davis,wr,29,442,5,nyj,2021,2022,nyj-2022
Jerry Rice*,WR,92,1211,3,rai,2002,2003,rai-2003
Jerry Rice,WR,63,869,4,rai,2003,2004,rai-2004
Jerry Porter,WR,64,998,3,rai,2004,2005,rai-2005
Randy Moss,WR,60,1005,3,rai,2005,2006,rai-2006
Ronald Curry,,62,727,4,rai,2006,2007,rai-2007
Ronald Curry,WR,55,717,4,rai,2007,2008,rai-2008
Zach Miller,TE,56,778,4,rai,2008,2009,rai-2009
Zach Miller,TE,66,805,4,rai,2009,2010,rai-2010
Zach Miller*,TE,60,685,4,rai,2010,2011,rai-2011
Darrius Heyward-Bey,WR,64,975,3,rai,2011,2012,rai-2012
Brandon Myers,TE,79,806,4,rai,2012,2013,rai-2013
Rod Streater,WR,60,888,4,rai,2013,2014,rai-2014
Andre Holmes,WR,47,693,4,rai,2014,2015,rai-2015
Amari Cooper*,WR,72,1070,3,rai,2015,2016,rai-2016
Amari Cooper*,WR,83,1153,3,rai,2016,2017,rai-2017
Jared Cook,TE,54,688,4,rai,2017,2018,rai-2018
Jared Cook*,TE,68,896,4,rai,2018,2019,rai-2019
Darren Waller,TE,90,1145,3,rai,2019,2020,rai-2020
Darren Waller*,TE,107,1196,3,rai,2020,2021,rai-2021
Hunter Renfrow,wr,52,494,5,rai,2021,2022,rai-2022
Darren Waller,te,44,494,5,rai,2021,2022,rai-2022
Todd Pinkston,WR,60,798,4,phi,2002,2003,phi-2003
Todd Pinkston,WR,36,575,5,phi,2003,2004,phi-2004
Terrell Owens*+,WR,77,1200,3,phi,2004,2005,phi-2005
Terrell Owens,wr,47,763,4,phi,2005,2006,phi-2006
Reggie Brown,WR,46,816,4,phi,2006,2007,phi-2007
Kevin Curtis,WR,77,1110,3,phi,2007,2008,phi-2008
DeSean Jackson,WR,62,912,4,phi,2008,2009,phi-2009
DeSean Jackson*,WR,62,1156,3,phi,2009,2010,phi-2010
DeSean Jackson*,WR,47,1056,3,phi,2010,2011,phi-2011
DeSean Jackson,WR,58,961,3,phi,2011,2012,phi-2012
Jeremy Maclin,WR,69,857,4,phi,2012,2013,phi-2013
DeSean Jackson*,WR,82,1332,2,phi,2013,2014,phi-2014
Jeremy Maclin,WR,85,1318,2,phi,2014,2015,phi-2015
Jordan Matthews,WR,85,997,3,phi,2015,2016,phi-2016
Zach Ertz,TE,78,816,4,phi,2016,2017,phi-2017
Zach Ertz*,TE,74,824,4,phi,2017,2018,phi-2018
Zach Ertz*,TE,116,1163,3,phi,2018,2019,phi-2019
Zach Ertz*,TE,88,916,4,phi,2019,2020,phi-2020
Travis Fulgham,WR,38,539,5,phi,2020,2021,phi-2021
DeVonta Smith,wr,42,603,5,phi,2021,2022,phi-2022
Hines Ward*,WR,112,1329,2,pit,2002,2003,pit-2003
Hines Ward*,WR,95,1163,3,pit,2003,2004,pit-2004
Hines Ward*,WR,80,1004,3,pit,2004,2005,pit-2005
Hines Ward,WR,69,975,3,pit,2005,2006,pit-2006
Hines Ward,WR,74,975,3,pit,2006,2007,pit-2007
Santonio Holmes,WR,52,942,3,pit,2007,2008,pit-2008
Hines Ward,WR,81,1043,3,pit,2008,2009,pit-2009
Santonio Holmes,WR,79,1248,2,pit,2009,2010,pit-2010
Mike Wallace,WR,60,1257,2,pit,2010,2011,pit-2011
Mike Wallace*,WR,72,1193,3,pit,2011,2012,pit-2012
Mike Wallace,WR,64,836,4,pit,2012,2013,pit-2013
Antonio Brown*,WR,110,1499,1,pit,2013,2014,pit-2014
Antonio Brown*+,WR,129,1698,1,pit,2014,2015,pit-2015
Antonio Brown*+,WR,136,1834,1,pit,2015,2016,pit-2016
Antonio Brown*+,WR,106,1284,2,pit,2016,2017,pit-2017
Antonio Brown*+,WR,101,1533,1,pit,2017,2018,pit-2018
JuJu Smith-Schuster*,WR,111,1426,2,pit,2018,2019,pit-2019
James Washington,WR,44,735,4,pit,2019,2020,pit-2020
Diontae Johnson,WR,88,923,4,pit,2020,2021,pit-2021
Diontae Johnson,wr,52,613,5,pit,2021,2022,pit-2022
Terrell Owens*+,WR,100,1300,2,sfo,2002,2003,sfo-2003
Terrell Owens*,WR,80,1102,3,sfo,2003,2004,sfo-2004
Eric Johnson,TE,82,825,4,sfo,2004,2005,sfo-2005
Brandon Lloyd,WR,48,733,4,sfo,2005,2006,sfo-2006
Antonio Bryant,WR,40,733,4,sfo,2006,2007,sfo-2007
Arnaz Battle,WR,50,600,5,sfo,2007,2008,sfo-2008
Isaac Bruce,WR,61,835,4,sfo,2008,2009,sfo-2009
Vernon Davis*,TE,78,965,3,sfo,2009,2010,sfo-2010
Vernon Davis,TE,56,914,4,sfo,2010,2011,sfo-2011
Michael Crabtree,WR,72,874,4,sfo,2011,2012,sfo-2012
Michael Crabtree,WR,85,1105,3,sfo,2012,2013,sfo-2013
Anquan Boldin,WR,85,1179,3,sfo,2013,2014,sfo-2014
Anquan Boldin,WR,83,1062,3,sfo,2014,2015,sfo-2015
Anquan Boldin,WR,69,789,4,sfo,2015,2016,sfo-2016
Jeremy Kerley,WR,64,667,4,sfo,2016,2017,sfo-2017
Marquise Goodwin,WR,56,962,3,sfo,2017,2018,sfo-2018
George Kittle*,TE,88,1377,2,sfo,2018,2019,sfo-2019
George Kittle*+,TE,85,1053,3,sfo,2019,2020,sfo-2020
Brandon Aiyuk,WR,60,748,4,sfo,2020,2021,sfo-2021
Deebo Samuel,wr,49,882,4,sfo,2021,2022,sfo-2022
Koren Robinson,WR,78,1240,2,sea,2002,2003,sea-2003
Darrell Jackson,WR,68,1137,3,sea,2003,2004,sea-2004
Darrell Jackson,WR,87,1199,3,sea,2004,2005,sea-2005
Bobby Engram,WR,67,778,4,sea,2005,2006,sea-2006
Darrell Jackson,WR,63,956,3,sea,2006,2007,sea-2007
Bobby Engram,WR,94,1147,3,sea,2007,2008,sea-2008
John Carlson,TE,55,627,5,sea,2008,2009,sea-2009
T.J. Houshmandzadeh,WR,79,911,4,sea,2009,2010,sea-2010
Mike Williams,WR,65,751,4,sea,2010,2011,sea-2011
Doug Baldwin,,51,788,4,sea,2011,2012,sea-2012
Sidney Rice,WR,50,748,4,sea,2012,2013,sea-2013
Golden Tate,WR,64,898,4,sea,2013,2014,sea-2014
Doug Baldwin,WR,66,825,4,sea,2014,2015,sea-2015
Doug Baldwin,WR,78,1069,3,sea,2015,2016,sea-2016
Doug Baldwin*,WR,94,1128,3,sea,2016,2017,sea-2017
Doug Baldwin*,WR,75,991,3,sea,2017,2018,sea-2018
Tyler Lockett,WR,57,965,3,sea,2018,2019,sea-2019
Tyler Lockett,WR,82,1057,3,sea,2019,2020,sea-2020
D.K. Metcalf*,WR,83,1303,2,sea,2020,2021,sea-2021
D.K. Metcalf,wr,42,606,5,sea,2021,2022,sea-2022
Keyshawn Johnson,WR,76,1088,3,tam,2002,2003,tam-2003
Keenan McCardell*,WR,84,1174,3,tam,2003,2004,tam-2004
Michael Clayton,WR,80,1193,3,tam,2004,2005,tam-2005
Joey Galloway,WR,83,1287,2,tam,2005,2006,tam-2006
Joey Galloway,WR,62,1057,3,tam,2006,2007,tam-2007
Joey Galloway,WR,57,1014,3,tam,2007,2008,tam-2008
Antonio Bryant,WR,83,1248,2,tam,2008,2009,tam-2009
Kellen Winslow,TE,77,884,4,tam,2009,2010,tam-2010
Mike Williams,WR,65,964,3,tam,2010,2011,tam-2011
Mike Williams,WR,65,771,4,tam,2011,2012,tam-2012
Vincent Jackson*,WR,72,1384,2,tam,2012,2013,tam-2013
Vincent Jackson,WR,78,1224,3,tam,2013,2014,tam-2014
Mike Evans,WR,68,1051,3,tam,2014,2015,tam-2015
Mike Evans,WR,74,1206,3,tam,2015,2016,tam-2016
Mike Evans*,WR,96,1321,2,tam,2016,2017,tam-2017
Mike Evans,WR,71,1001,3,tam,2017,2018,tam-2018
Mike Evans*,WR,86,1524,1,tam,2018,2019,tam-2019
Chris Godwin*,WR,86,1333,2,tam,2019,2020,tam-2020
Mike Evans,WR,70,1006,3,tam,2020,2021,tam-2021
Chris Godwin,wr,57,717,4,tam,2021,2022,tam-2022
Derrick Mason,WR,79,1012,3,oti,2002,2003,oti-2003
Derrick Mason*,WR,95,1303,2,oti,2003,2004,oti-2004
Drew Bennett,WR,80,1247,2,oti,2004,2005,oti-2005
Drew Bennett,WR,58,738,4,oti,2005,2006,oti-2006
Drew Bennett,WR,46,737,4,oti,2006,2007,oti-2007
Justin Gage,wr,55,750,4,oti,2007,2008,oti-2008
Justin Gage,WR,34,651,5,oti,2008,2009,oti-2009
Kenny Britt,wr,42,701,4,oti,2009,2010,oti-2010
Kenny Britt,WR,42,775,4,oti,2010,2011,oti-2011
Nate Washington,WR,74,1023,3,oti,2011,2012,oti-2012
Nate Washington,WR,46,746,4,oti,2012,2013,oti-2013
Kendall Wright,WR,94,1079,3,oti,2013,2014,oti-2014
Delanie Walker,TE,63,890,4,oti,2014,2015,oti-2015
Delanie Walker*,TE,94,1088,3,oti,2015,2016,oti-2016
Rishard Matthews,WR,65,945,3,oti,2016,2017,oti-2017
Delanie Walker*,TE,74,807,4,oti,2017,2018,oti-2018
Corey Davis,WR,65,891,4,oti,2018,2019,oti-2019
A.J. Brown,WR,52,1051,3,oti,2019,2020,oti-2020
A.J. Brown*,WR,70,1075,3,oti,2020,2021,oti-2021
A.J. Brown,wr,41,567,5,oti,2021,2022,oti-2022
Rod Gardner,WR,71,1006,3,was,2002,2003,was-2003
Laveranues Coles*,WR,82,1204,3,was,2003,2004,was-2004
Laveranues Coles,WR,90,950,3,was,2004,2005,was-2005
Santana Moss*,WR,84,1483,1,was,2005,2006,was-2006
Santana Moss,WR,55,790,4,was,2006,2007,was-2007
Santana Moss,WR,61,808,4,was,2007,2008,was-2008
Santana Moss,WR,79,1044,3,was,2008,2009,was-2009
Santana Moss,WR,70,902,4,was,2009,2010,was-2010
Santana Moss,WR,93,1115,3,was,2010,2011,was-2011
Jabar Gaffney,WR,68,947,3,was,2011,2012,was-2012
Pierre Garcon,WR,44,633,5,was,2012,2013,was-2013
Pierre Garcon,WR,113,1346,2,was,2013,2014,was-2014
DeSean Jackson,WR,56,1169,3,was,2014,2015,was-2015
Jordan Reed,TE,87,952,3,was,2015,2016,was-2016
Pierre Garcon,WR,79,1041,3,was,2016,2017,was-2017
Jamison Crowder,WR,66,789,4,was,2017,2018,was-2018
Jordan Reed,TE,54,558,5,was,2018,2019,was-2019
Terry McLaurin,WR,58,919,4,was,2019,2020,was-2020
Terry McLaurin,WR,87,1118,3,was,2020,2021,was-2021
Terry McLaurin,wr,49,632,5,was,2021,2022,was-2022
